subj,trial_id,trial_type,trialstart,trialend,tdur,recstart,recend,blinks,eye,tffixos,tffixurt,tfixcnt,tregrcnt,region,reglen,word,line_no,x1_pos,x2_pos,mod_x1,mod_x2,fpurt,fpcount,fpregres,fpregreg,fpregchr,ffos,ffixurt,spilover,rpurt,rpcount,rpregreg,rpregchr,spurt,spcount
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,1,6,Cowboy,1,215,281,204.0,281.0,200.0,1.0,0.0,0.0,995.0,1.0,200.0,204.0,200.0,0.0,0.0,995.0,468.0,2.0
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,2,4, was,1,281,325,281.0,325.0,212.0,1.0,0.0,0.0,995.0,1.0,212.0,196.0,212.0,0.0,0.0,995.0,444.0,2.0
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,3,8, without,1,325,413,325.0,413.0,204.0,1.0,1.0,1.0,5.0,2.0,204.0,128.0,1820.0,8.0,1.0,5.0,492.0,3.0
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,4,2, a,1,413,435,413.0,435.0,,,,,,,,,,,,,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,5,6, doubt,1,435,501,435.0,501.0,472.0,2.0,0.0,0.0,995.0,4.0,136.0,208.0,472.0,0.0,0.0,995.0,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,6,4, the,1,501,545,501.0,545.0,444.0,2.0,0.0,0.0,995.0,3.0,208.0,284.0,444.0,0.0,0.0,995.0,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,7,8, ugliest,1,545,633,545.0,633.0,,,,,,,,,,,,,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,8,6, horse,1,633,699,633.0,699.0,284.0,1.0,0.0,0.0,995.0,2.0,284.0,216.0,284.0,0.0,0.0,995.0,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,9,3, in,1,699,732,699.0,732.0,236.0,1.0,0.0,0.0,995.0,2.0,236.0,192.0,236.0,0.0,0.0,995.0,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,10,4, the,1,732,776,732.0,776.0,216.0,1.0,1.0,9.0,40.0,1.0,216.0,236.0,452.0,1.0,9.0,46.0,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,11,7, world.,1,776,853,776.0,853.0,192.0,1.0,0.0,0.0,995.0,4.0,192.0,560.0,192.0,0.0,0.0,995.0,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,12,5, Even,1,853,908,853.0,908.0,560.0,1.0,0.0,0.0,995.0,3.0,560.0,160.0,560.0,0.0,0.0,995.0,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,13,4," so,",1,908,952,908.0,952.0,160.0,1.0,0.0,0.0,995.0,2.0,160.0,360.0,160.0,0.0,0.0,995.0,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,14,2, I,1,952,974,952.0,985.0,,,,,,,,,,,,,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,15,5,loved,2,215,270,204.0,270.0,640.0,2.0,0.0,0.0,995.0,0.0,180.0,220.0,640.0,0.0,0.0,995.0,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,16,4, him,2,270,314,270.0,314.0,,,,,,,,,,,,,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,17,7, beyond,2,314,391,314.0,391.0,388.0,2.0,0.0,0.0,995.0,3.0,220.0,120.0,388.0,0.0,0.0,995.0,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,18,4, all,2,391,435,391.0,435.0,120.0,1.0,0.0,0.0,995.0,0.0,120.0,604.0,120.0,0.0,0.0,995.0,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,19,8, reason.,2,435,523,435.0,523.0,604.0,1.0,0.0,0.0,995.0,6.0,604.0,272.0,604.0,0.0,0.0,995.0,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,20,2, I,2,523,545,523.0,545.0,,,,,,,,,,,,,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,21,9, realized,2,545,644,545.0,644.0,272.0,1.0,0.0,0.0,995.0,4.0,272.0,400.0,272.0,0.0,0.0,995.0,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,22,5, that,2,644,699,644.0,699.0,400.0,1.0,0.0,0.0,995.0,2.0,400.0,460.0,400.0,0.0,0.0,995.0,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,23,3, my,2,699,732,699.0,732.0,,,,,,,,,,,,,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,24,5, only,2,732,787,732.0,787.0,460.0,1.0,0.0,0.0,995.0,3.0,460.0,212.0,460.0,0.0,0.0,995.0,144.0,1.0
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,25,7, chance,2,787,864,787.0,864.0,232.0,1.0,0.0,0.0,995.0,3.0,232.0,516.0,232.0,0.0,0.0,995.0,264.0,1.0
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,26,3, to,2,864,897,864.0,897.0,212.0,1.0,1.0,25.0,119.0,0.0,212.0,232.0,444.0,1.0,25.0,124.0,312.0,1.0
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,27,8, compete,2,897,985,897.0,996.0,636.0,2.0,0.0,0.0,995.0,4.0,516.0,416.0,636.0,0.0,0.0,995.0,288.0,1.0
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,28,5,would,3,215,270,204.0,270.0,416.0,1.0,1.0,24.0,117.0,2.0,416.0,144.0,1424.0,4.0,24.0,120.0,428.0,2.0
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,29,3, be,3,270,303,270.0,303.0,120.0,1.0,1.0,28.0,134.0,2.0,120.0,220.0,340.0,1.0,28.0,142.0,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,30,3, in,3,303,336,303.0,336.0,308.0,1.0,1.0,28.0,133.0,2.0,308.0,208.0,516.0,1.0,28.0,141.0,228.0,1.0
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,31,4, the,3,336,380,336.0,380.0,,,,,,,,,,,,,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,32,6, speed,3,380,446,380.0,446.0,204.0,1.0,1.0,30.0,144.0,1.0,204.0,228.0,756.0,2.0,30.0,147.0,324.0,1.0
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,33,8," events,",3,446,534,446.0,534.0,308.0,1.0,0.0,0.0,995.0,3.0,308.0,408.0,308.0,0.0,0.0,995.0,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,34,6, since,3,534,600,534.0,600.0,408.0,1.0,0.0,0.0,995.0,0.0,408.0,256.0,408.0,0.0,0.0,995.0,164.0,1.0
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,35,7, events,3,600,677,600.0,677.0,592.0,2.0,1.0,34.0,163.0,1.0,256.0,164.0,756.0,1.0,34.0,171.0,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,36,6, based,3,677,743,677.0,743.0,516.0,2.0,0.0,0.0,995.0,4.0,116.0,312.0,516.0,0.0,0.0,995.0,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,37,3, on,3,743,776,743.0,776.0,,,,,,,,,,,,,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,38,11, appearance,3,776,897,776.0,897.0,652.0,2.0,0.0,0.0,995.0,5.0,312.0,260.0,652.0,0.0,0.0,995.0,304.0,1.0
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,39,5, were,3,897,952,897.0,952.0,276.0,1.0,0.0,0.0,995.0,4.0,276.0,136.0,276.0,0.0,0.0,995.0,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,40,4, out,3,952,996,952.0,996.0,260.0,1.0,1.0,38.0,197.0,0.0,260.0,304.0,1020.0,3.0,38.0,200.0,180.0,1.0
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,41,3, of,3,996,1029,996.0,1040.0,136.0,1.0,0.0,0.0,995.0,0.0,136.0,136.0,136.0,0.0,0.0,995.0,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,42,3,the,4,215,248,204.0,248.0,240.0,1.0,0.0,0.0,995.0,2.0,240.0,204.0,240.0,0.0,0.0,995.0,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,43,10, question.,4,248,358,248.0,358.0,136.0,1.0,1.0,42.0,212.0,3.0,136.0,240.0,376.0,1.0,42.0,215.0,636.0,2.0
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,44,2, I,4,358,380,358.0,380.0,204.0,1.0,1.0,43.0,222.0,1.0,204.0,380.0,1040.0,3.0,43.0,225.0,200.0,1.0
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,45,6, chose,4,380,446,380.0,446.0,236.0,1.0,0.0,0.0,995.0,4.0,236.0,248.0,236.0,0.0,0.0,995.0,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,46,7, barrel,4,446,523,446.0,523.0,248.0,1.0,0.0,0.0,995.0,6.0,248.0,108.0,248.0,0.0,0.0,995.0,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,47,7, racing,4,523,600,523.0,600.0,,,,,,,,,,,,,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,48,4, and,4,600,644,600.0,644.0,,,,,,,,,,,,,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,49,5, came,4,644,699,644.0,699.0,624.0,3.0,0.0,0.0,995.0,1.0,108.0,276.0,624.0,0.0,0.0,995.0,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,50,3, in,4,699,732,699.0,732.0,276.0,1.0,0.0,0.0,995.0,1.0,276.0,204.0,276.0,0.0,0.0,995.0,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,51,5, next,4,732,787,732.0,787.0,204.0,1.0,0.0,0.0,995.0,4.0,204.0,176.0,204.0,0.0,0.0,995.0,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,52,3, to,4,787,820,787.0,820.0,176.0,1.0,0.0,0.0,995.0,1.0,176.0,252.0,176.0,0.0,0.0,995.0,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,53,6," last,",4,820,886,820.0,886.0,124.0,1.0,0.0,0.0,995.0,4.0,124.0,288.0,124.0,0.0,0.0,995.0,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,54,6, while,4,886,952,886.0,952.0,436.0,2.0,1.0,53.0,269.0,0.0,252.0,124.0,560.0,1.0,53.0,272.0,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,55,7," Becky,",4,952,1029,952.0,1040.0,424.0,2.0,0.0,0.0,995.0,1.0,288.0,148.0,424.0,0.0,0.0,995.0,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,56,3,who,5,215,248,204.0,248.0,428.0,2.0,0.0,0.0,995.0,2.0,180.0,512.0,428.0,0.0,0.0,995.0,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,57,5, rode,5,248,303,248.0,303.0,148.0,1.0,1.0,56.0,282.0,2.0,148.0,180.0,576.0,2.0,56.0,289.0,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,58,2, a,5,303,325,303.0,325.0,,,,,,,,,,,,,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,59,4, big,5,325,369,325.0,369.0,512.0,1.0,0.0,0.0,995.0,1.0,512.0,328.0,512.0,0.0,0.0,995.0,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,60,6, brown,5,369,435,369.0,435.0,328.0,1.0,0.0,0.0,995.0,3.0,328.0,336.0,328.0,0.0,0.0,995.0,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,61,13, thoroughbred,5,435,578,435.0,578.0,752.0,3.0,0.0,0.0,995.0,4.0,336.0,208.0,752.0,0.0,0.0,995.0,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,62,6," mare,",5,578,644,578.0,644.0,,,,,,,,,,,,,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,63,4, won,5,644,688,644.0,688.0,208.0,1.0,0.0,0.0,995.0,1.0,208.0,300.0,208.0,0.0,0.0,995.0,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,64,6, every,5,688,754,688.0,754.0,300.0,1.0,0.0,0.0,995.0,4.0,300.0,248.0,300.0,0.0,0.0,995.0,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,65,6, time.,5,754,820,754.0,820.0,248.0,1.0,0.0,0.0,995.0,0.0,248.0,420.0,248.0,0.0,0.0,995.0,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,66,4, For,5,820,864,820.0,864.0,420.0,1.0,0.0,0.0,995.0,3.0,420.0,388.0,420.0,0.0,0.0,995.0,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,67,4, the,5,864,908,864.0,908.0,,,,,,,,,,,,,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,68,6, whole,5,908,974,908.0,974.0,796.0,2.0,0.0,0.0,995.0,0.0,388.0,324.0,796.0,0.0,0.0,995.0,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,69,5, next,5,974,1029,974.0,1040.0,,,,,,,,,,,,,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,70,5,month,6,215,270,204.0,270.0,324.0,1.0,0.0,0.0,995.0,2.0,324.0,188.0,324.0,0.0,0.0,995.0,,
1950168,2.0,story03,677267.0,751944.0,74677.0,677328.0,751131.0,21.0,L,70539.0,0.0,250,58,71,2, I,6,270,292,270.0,292.0,,,,,,,,,,,,,,
