subj,trial_id,trial_type,trialstart,trialend,tdur,recstart,recend,blinks,eye,tffixos,tffixurt,tfixcnt,tregrcnt,region,reglen,word,line_no,x1_pos,x2_pos,mod_x1,mod_x2,fpurt,fpcount,fpregres,fpregreg,fpregchr,ffos,ffixurt,spilover,rpurt,rpcount,rpregreg,rpregchr,spurt,spcount
1950168,1.0,story02,634703.0,674092.0,39389.0,634777.0,673279.0,10.0,R,24308.0,0.0,137,28,1,3,The,1,215,248,204.0,248.0,228.0,1.0,0.0,0.0,605.0,1.0,228.0,224.0,228.0,0.0,0.0,605.0,236.0,1.0
1950168,1.0,story02,634703.0,674092.0,39389.0,634777.0,673279.0,10.0,R,24308.0,0.0,137,28,2,6, trial,1,248,314,248.0,314.0,808.0,3.0,0.0,0.0,605.0,3.0,224.0,292.0,808.0,0.0,0.0,605.0,240.0,1.0
1950168,1.0,story02,634703.0,674092.0,39389.0,634777.0,673279.0,10.0,R,24308.0,0.0,137,28,3,5, pack,1,314,370,314.0,370.0,292.0,1.0,1.0,1.0,2.0,3.0,292.0,236.0,1048.0,3.0,1.0,2.0,280.0,1.0
1950168,1.0,story02,634703.0,674092.0,39389.0,634777.0,673279.0,10.0,R,24308.0,0.0,137,28,4,3, of,1,370,403,370.0,403.0,,,,,,,,,,,,,,
1950168,1.0,story02,634703.0,674092.0,39389.0,634777.0,673279.0,10.0,R,24308.0,0.0,137,28,5,15, Beauty-Forever,1,403,568,403.0,568.0,1336.0,5.0,0.0,0.0,605.0,3.0,320.0,216.0,1336.0,0.0,0.0,605.0,,
1950168,1.0,story02,634703.0,674092.0,39389.0,634777.0,673279.0,10.0,R,24308.0,0.0,137,28,6,6, pills,1,568,634,568.0,634.0,216.0,1.0,0.0,0.0,605.0,4.0,216.0,292.0,216.0,0.0,0.0,605.0,,
1950168,1.0,story02,634703.0,674092.0,39389.0,634777.0,673279.0,10.0,R,24308.0,0.0,137,28,7,5, made,1,634,689,634.0,689.0,292.0,1.0,0.0,0.0,605.0,4.0,292.0,240.0,292.0,0.0,0.0,605.0,,
1950168,1.0,story02,634703.0,674092.0,39389.0,634777.0,673279.0,10.0,R,24308.0,0.0,137,28,8,4, the,1,689,733,689.0,733.0,,,,,,,,,,,,,,
1950168,1.0,story02,634703.0,674092.0,39389.0,634777.0,673279.0,10.0,R,24308.0,0.0,137,28,9,7, couple,1,733,810,733.0,810.0,396.0,2.0,0.0,0.0,605.0,0.0,240.0,212.0,396.0,0.0,0.0,605.0,208.0,1.0
1950168,1.0,story02,634703.0,674092.0,39389.0,634777.0,673279.0,10.0,R,24308.0,0.0,137,28,10,5, feel,1,810,865,810.0,865.0,212.0,1.0,1.0,9.0,48.0,4.0,212.0,208.0,420.0,1.0,9.0,52.0,,
